ConfigName,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
R0.05_SingleBlock_Tourn,0.9929,3984.37,497.90,0.03
R0.05_TwoPoint_Tourn,0.9913,4282.17,487.43,0.03
R0.05_TwoPoint_Trunc,0.9907,11198.87,485.90,0.03
R0.05_OnePoint_Tourn,0.9916,3730.17,500.00,0.00
R0.05_MultiBlock_Tourn,0.9908,3728.30,500.00,0.00
R0.01_SingleBlock_Tourn,0.9929,12276.77,497.90,0.03
R0.01_TwoPoint_Tourn,0.9913,16960.73,487.43,0.03
R0.01_TwoPoint_Trunc,0.9907,48443.77,485.90,0.03
R0.01_OnePoint_Tourn,0.9916,17244.57,500.00,0.00
R0.01_MultiBlock_Tourn,0.9908,15747.07,500.00,0.00
R0.005_SingleBlock_Tourn,0.9929,17214.67,497.90,0.03
R0.005_TwoPoint_Tourn,0.9913,6184.47,487.43,0.03
R0.005_TwoPoint_Trunc,0.9907,11276.63,485.90,0.03
R0.005_OnePoint_Tourn,0.9916,3676.33,500.00,0.00
R0.005_MultiBlock_Tourn,0.9908,3732.73,500.00,0.00
R0.001_SingleBlock_Tourn,0.9929,3888.27,497.90,0.03
R0.001_TwoPoint_Tourn,0.9913,3598.73,487.43,0.03
R0.001_TwoPoint_Trunc,0.9907,11480.97,485.90,0.03
R0.001_OnePoint_Tourn,0.9916,3650.47,500.00,0.00
R0.001_MultiBlock_Tourn,0.9908,3662.73,500.00,0.00
R5.0E-4_SingleBlock_Tourn,0.9929,3674.70,497.90,0.03
R5.0E-4_TwoPoint_Tourn,0.9913,3661.73,487.43,0.03
R5.0E-4_TwoPoint_Trunc,0.9907,11138.97,485.90,0.03
R5.0E-4_OnePoint_Tourn,0.9916,3817.57,500.00,0.00
R5.0E-4_MultiBlock_Tourn,0.9908,3671.30,500.00,0.00
