ConfigName,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
R0.05_SingleBlock_Tourn,0.9953,11654.10,399.17,0.23
R0.05_TwoPoint_Tourn,0.9958,3305.60,365.13,0.33
R0.05_TwoPoint_Trunc,0.9961,8847.67,385.13,0.30
R0.05_OnePoint_Tourn,0.9968,2286.67,331.30,0.40
R0.05_MultiBlock_Tourn,0.9964,2471.47,351.70,0.37
R0.01_SingleBlock_Tourn,0.9953,2904.30,399.17,0.23
R0.01_TwoPoint_Tourn,0.9958,2569.33,365.13,0.33
R0.01_TwoPoint_Trunc,0.9961,9103.57,385.13,0.30
R0.01_OnePoint_Tourn,0.9968,2385.50,331.30,0.40
R0.01_MultiBlock_Tourn,0.9964,2742.50,351.70,0.37
R0.005_SingleBlock_Tourn,0.9953,3079.53,399.17,0.23
R0.005_TwoPoint_Tourn,0.9958,2602.63,365.13,0.33
R0.005_TwoPoint_Trunc,0.9961,9084.27,385.13,0.30
R0.005_OnePoint_Tourn,0.9968,2358.43,331.30,0.40
R0.005_MultiBlock_Tourn,0.9964,2461.97,351.70,0.37
R0.001_SingleBlock_Tourn,0.9953,2937.97,399.17,0.23
R0.001_TwoPoint_Tourn,0.9958,2604.53,365.13,0.33
R0.001_TwoPoint_Trunc,0.9961,8915.17,385.13,0.30
R0.001_OnePoint_Tourn,0.9968,2326.50,331.30,0.40
R0.001_MultiBlock_Tourn,0.9964,2467.73,351.70,0.37
R5.0E-4_SingleBlock_Tourn,0.9953,2963.70,399.17,0.23
R5.0E-4_TwoPoint_Tourn,0.9958,2633.63,365.13,0.33
R5.0E-4_TwoPoint_Trunc,0.9961,8913.13,385.13,0.30
R5.0E-4_OnePoint_Tourn,0.9968,2349.13,331.30,0.40
R5.0E-4_MultiBlock_Tourn,0.9964,2459.37,351.70,0.37
