ConfigName,PopSize,MaxGen,CrossRate,MutRate,EliteCount,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
SingleBlock_Tourn_P50_G200_M0.001_C0.6_E2,50,200,0.60,0.00,2,0.92915,510.73,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.001_C0.6_E5,50,200,0.60,0.00,5,0.92418,402.67,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.001_C0.8_E2,50,200,0.80,0.00,2,0.93433,442.37,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.001_C0.8_E5,50,200,0.80,0.00,5,0.93493,319.27,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.001_C0.9_E2,50,200,0.90,0.00,2,0.93522,368.27,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.001_C0.9_E5,50,200,0.90,0.00,5,0.93622,308.53,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.005_C0.6_E2,50,200,0.60,0.01,2,0.94358,337.50,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.005_C0.6_E5,50,200,0.60,0.01,5,0.94239,315.90,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.005_C0.8_E2,50,200,0.80,0.01,2,0.94796,336.67,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.005_C0.8_E5,50,200,0.80,0.01,5,0.94368,310.93,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.005_C0.9_E2,50,200,0.90,0.01,2,0.95005,328.07,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.005_C0.9_E5,50,200,0.90,0.01,5,0.94557,313.50,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.010_C0.6_E2,50,200,0.60,0.01,2,0.95124,342.40,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.010_C0.6_E5,50,200,0.60,0.01,5,0.94836,330.93,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.010_C0.8_E2,50,200,0.80,0.01,2,0.95373,324.83,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.010_C0.8_E5,50,200,0.80,0.01,5,0.95423,312.47,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.010_C0.9_E2,50,200,0.90,0.01,2,0.95572,322.83,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.010_C0.9_E5,50,200,0.90,0.01,5,0.95234,322.67,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.050_C0.6_E2,50,200,0.60,0.05,2,0.96259,365.33,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.050_C0.6_E5,50,200,0.60,0.05,5,0.96070,308.53,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.050_C0.8_E2,50,200,0.80,0.05,2,0.96348,424.43,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.050_C0.8_E5,50,200,0.80,0.05,5,0.96388,334.90,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.050_C0.9_E2,50,200,0.90,0.05,2,0.96587,389.27,200.00,0.00
SingleBlock_Tourn_P50_G200_M0.050_C0.9_E5,50,200,0.90,0.05,5,0.96537,337.13,200.00,0.00
SingleBlock_Tourn_P50_G500_M0.001_C0.6_E2,50,500,0.60,0.00,2,0.93672,868.93,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.001_C0.6_E5,50,500,0.60,0.00,5,0.93194,1136.00,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.001_C0.8_E2,50,500,0.80,0.00,2,0.94149,909.40,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.001_C0.8_E5,50,500,0.80,0.00,5,0.94219,909.13,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.001_C0.9_E2,50,500,0.90,0.00,2,0.94259,986.90,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.001_C0.9_E5,50,500,0.90,0.00,5,0.94139,958.53,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.005_C0.6_E2,50,500,0.60,0.01,2,0.95373,1037.27,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.005_C0.6_E5,50,500,0.60,0.01,5,0.95184,895.27,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.005_C0.8_E2,50,500,0.80,0.01,2,0.95483,2202.30,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.005_C0.8_E5,50,500,0.80,0.01,5,0.95224,967.47,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.005_C0.9_E2,50,500,0.90,0.01,2,0.95622,2000.90,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.005_C0.9_E5,50,500,0.90,0.01,5,0.95413,3397.03,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.010_C0.6_E2,50,500,0.60,0.01,2,0.96000,994.03,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.010_C0.6_E5,50,500,0.60,0.01,5,0.95891,785.77,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.010_C0.8_E2,50,500,0.80,0.01,2,0.96100,834.13,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.010_C0.8_E5,50,500,0.80,0.01,5,0.96070,767.13,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.010_C0.9_E2,50,500,0.90,0.01,2,0.96289,810.03,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.010_C0.9_E5,50,500,0.90,0.01,5,0.96040,770.13,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.050_C0.6_E2,50,500,0.60,0.05,2,0.96736,3449.73,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.050_C0.6_E5,50,500,0.60,0.05,5,0.96697,3671.93,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.050_C0.8_E2,50,500,0.80,0.05,2,0.96806,3155.97,500.00,0.00
SingleBlock_Tourn_P50_G500_M0.050_C0.8_E5,50,500,0.80,0.05,5,0.96786,3462.90,500.00,0.00
