ConfigName,AvgFitness,AvgTimeMs,AvgGenerations,SuccessRate
M:basic_C:uniform_S:tournament,0.9726,4099.03,500.00,0.00
M:basic_C:uniform_S:roulette,0.9353,12995.40,500.00,0.00
M:basic_C:uniform_S:stochastic,0.9377,9968.73,500.00,0.00
M:basic_C:uniform_S:rank,0.9465,7007.67,500.00,0.00
M:basic_C:uniform_S:truncation,0.9562,15346.73,500.00,0.00
M:basic_C:onepoint_S:tournament,0.9763,16895.60,500.00,0.00
M:basic_C:onepoint_S:roulette,0.9467,24061.13,500.00,0.00
M:basic_C:onepoint_S:stochastic,0.9444,4513.30,500.00,0.00
M:basic_C:onepoint_S:rank,0.9541,14279.60,500.00,0.00
M:basic_C:onepoint_S:truncation,0.9641,11998.97,500.00,0.00
M:basic_C:twopoint_S:tournament,0.9749,3737.93,500.00,0.00
M:basic_C:twopoint_S:roulette,0.9436,8221.97,500.00,0.00
M:basic_C:twopoint_S:stochastic,0.9431,4267.40,500.00,0.00
M:basic_C:twopoint_S:rank,0.9521,16268.53,500.00,0.00
M:basic_C:twopoint_S:truncation,0.9597,12312.03,500.00,0.00
M:basic_C:singleblock_S:tournament,0.9741,3760.47,500.00,0.00
M:basic_C:singleblock_S:roulette,0.9489,8151.33,500.00,0.00
M:basic_C:singleblock_S:stochastic,0.9507,3439.03,500.00,0.00
M:basic_C:singleblock_S:rank,0.9566,4466.73,500.00,0.00
M:basic_C:singleblock_S:truncation,0.9643,11313.40,500.00,0.00
M:basic_C:multiblock_S:tournament,0.9749,3668.03,500.00,0.00
M:basic_C:multiblock_S:roulette,0.9450,8476.73,500.00,0.00
M:basic_C:multiblock_S:stochastic,0.9446,3684.50,500.00,0.00
M:basic_C:multiblock_S:rank,0.9536,4487.30,500.00,0.00
M:basic_C:multiblock_S:truncation,0.9635,11693.83,500.00,0.00
M:constraint_C:uniform_S:tournament,0.9880,4065.53,500.00,0.00
M:constraint_C:uniform_S:roulette,0.9662,19991.07,500.00,0.00
M:constraint_C:uniform_S:stochastic,0.9683,10231.00,500.00,0.00
M:constraint_C:uniform_S:rank,0.9746,5120.77,500.00,0.00
M:constraint_C:uniform_S:truncation,0.9878,12183.10,500.00,0.00
M:constraint_C:onepoint_S:tournament,0.9916,3762.63,500.00,0.00
M:constraint_C:onepoint_S:roulette,0.9773,8891.17,500.00,0.00
M:constraint_C:onepoint_S:stochastic,0.9768,3904.23,500.00,0.00
M:constraint_C:onepoint_S:rank,0.9895,4626.93,495.67,0.03
M:constraint_C:onepoint_S:truncation,0.9912,12944.07,500.00,0.00
M:constraint_C:twopoint_S:tournament,0.9913,3945.27,487.43,0.03
M:constraint_C:twopoint_S:roulette,0.9730,8502.60,500.00,0.00
M:constraint_C:twopoint_S:stochastic,0.9736,3952.03,500.00,0.00
M:constraint_C:twopoint_S:rank,0.9860,4738.77,500.00,0.00
M:constraint_C:twopoint_S:truncation,0.9907,11766.07,485.90,0.03
M:constraint_C:singleblock_S:tournament,0.9929,3652.40,497.90,0.03
M:constraint_C:singleblock_S:roulette,0.9758,8529.07,500.00,0.00
M:constraint_C:singleblock_S:stochastic,0.9777,3687.83,500.00,0.00
M:constraint_C:singleblock_S:rank,0.9880,4625.07,500.00,0.00
M:constraint_C:singleblock_S:truncation,0.9900,11452.17,500.00,0.00
M:constraint_C:multiblock_S:tournament,0.9908,3694.87,500.00,0.00
M:constraint_C:multiblock_S:roulette,0.9757,8455.73,500.00,0.00
M:constraint_C:multiblock_S:stochastic,0.9732,3701.20,500.00,0.00
M:constraint_C:multiblock_S:rank,0.9857,4610.97,495.50,0.03
M:constraint_C:multiblock_S:truncation,0.9904,11502.47,500.00,0.00
M:adaptive_C:uniform_S:tournament,0.9869,8657.90,500.00,0.00
M:adaptive_C:uniform_S:roulette,0.9540,12877.47,500.00,0.00
M:adaptive_C:uniform_S:stochastic,0.9537,8201.70,500.00,0.00
M:adaptive_C:uniform_S:rank,0.9587,9300.23,500.00,0.00
M:adaptive_C:uniform_S:truncation,0.9715,16019.83,500.00,0.00
M:adaptive_C:onepoint_S:tournament,0.9889,8681.70,500.00,0.00
M:adaptive_C:onepoint_S:roulette,0.9642,12871.70,500.00,0.00
M:adaptive_C:onepoint_S:stochastic,0.9643,8184.43,500.00,0.00
M:adaptive_C:onepoint_S:rank,0.9704,9234.63,500.00,0.00
M:adaptive_C:onepoint_S:truncation,0.9821,42150.93,500.00,0.00
M:adaptive_C:twopoint_S:tournament,0.9891,22618.67,500.00,0.00
M:adaptive_C:twopoint_S:roulette,0.9599,13033.30,500.00,0.00
M:adaptive_C:twopoint_S:stochastic,0.9583,20501.63,500.00,0.00
M:adaptive_C:twopoint_S:rank,0.9670,38838.63,500.00,0.00
M:adaptive_C:twopoint_S:truncation,0.9787,48369.73,500.00,0.00
M:adaptive_C:singleblock_S:tournament,0.9852,10423.23,500.00,0.00
M:adaptive_C:singleblock_S:roulette,0.9655,51528.90,500.00,0.00
M:adaptive_C:singleblock_S:stochastic,0.9648,23113.17,500.00,0.00
M:adaptive_C:singleblock_S:rank,0.9700,10415.20,500.00,0.00
M:adaptive_C:singleblock_S:truncation,0.9793,15984.73,500.00,0.00
M:adaptive_C:multiblock_S:tournament,0.9875,8740.60,500.00,0.00
M:adaptive_C:multiblock_S:roulette,0.9606,13228.60,500.00,0.00
M:adaptive_C:multiblock_S:stochastic,0.9626,8444.97,500.00,0.00
M:adaptive_C:multiblock_S:rank,0.9670,9650.53,500.00,0.00
M:adaptive_C:multiblock_S:truncation,0.9799,58271.67,500.00,0.00
M:hybrid_C:uniform_S:tournament,0.9882,15416.67,500.00,0.00
M:hybrid_C:uniform_S:roulette,0.9578,9391.30,500.00,0.00
M:hybrid_C:uniform_S:stochastic,0.9576,3648.10,500.00,0.00
M:hybrid_C:uniform_S:rank,0.9646,16224.77,500.00,0.00
M:hybrid_C:uniform_S:truncation,0.9758,20217.47,500.00,0.00
M:hybrid_C:onepoint_S:tournament,0.9889,3563.13,500.00,0.00
